IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Mouser-PN,DigiKey-PN
PWR-0000-2032,BAT-HLD-001,TE Connectivity Linx,"Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab",KiPLM_Symbols:CR2032_Pos,KiPLM_Footprints:BAT-HLD-001,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=BAT-HLD-001&DocType=Data+Sheet&DocLang=English&DocFormat=pdf&PartCntxt=BAT-HLD-001,712-BAT-HLD-001,BAT-HLD-001-ND
PWR-0001-2991,2991,Keystone Electronics,Battery Cell SMD (SMT) Tab,KiPLM_Symbols:CR2032_Neg,KiPLM_Footprints:Keystone_2991,https://www.keyelco.com/userAssets/file/M65p8.pdf,534-2991,36-2991-ND
PWR-0002-1057,1057,Keystone Electronics,Low Profile Coin Cell Battery Holders 2032 BATT HOLDER SMT,Device:Battery_Cell,Battery:BatteryHolder_Keystone_1057_1x2032,https://eu.mouser.com/datasheet/2/215/1057-744095.pdf,534-1057,
PWR-0003-1060,1060TR,Keystone Electronics,Coin Cell Battery Holders 20MM SMT CELL HOLDER,Device:Battery_Cell,Battery:BatteryHolder_Keystone_1060_1x2032,https://www.mouser.it/datasheet/2/215/1060TR-744237.pdf,534-1060TR,
PWR-0004-0DC3,G6BU-1114P-USDC3,Omron,General Purpose Relays Power PCB Relay,KiPLM_Symbols:G6BU-1114P,KiPLM_Footprints:G6BU-1114P,https://www.mouser.it/datasheet/2/307/K021_E1-3446730.pdf,653-G6BU-1114P-USDC3,
PWR-0005-1042,1042,Keystone Electronics,"Cylindrical Battery Contacts, Clips, Holders & Springs 18650 S/M PC BATTERY HOLDER",Device:Battery_Cell,KiPLM_Footprints:Keystone_1042,https://www.mouser.it/datasheet/2/215/Keystone_01142020_1042-1892096.pdf,534-1042,
PWR-0006-9205,Ag9205S,Silvertel,"Power over Ethernet - PoE Power over Ethernet - PoE PD Module, 13W, 5V, High Efficiency, IEEE802.3af Compliant, Single-in-line",KiPLM_Symbols:AG9200,KiPLM_Footprints:AG9200,https://www.mouser.it/datasheet/2/1048/Ag9200-datasheet-High-efficiency-Power-over-Ethern-1804404.pdf,480-AG9205S,
